"","District","Block","Village","mean","upper","lower"
"V1318_1","UDAIPUR","SARADA","PIPALDARA",14.5363139180347,0.890586464004373,20.1777396599138
"V1319_1","UDAIPUR","SARADA","EKLINGPURA1",22.6189836629707,17.001761936787,28.9363060907037
"V1320_1","UDAIPUR","SARADA","ODA1",15.8275713320671,14.925161587392,34.219225433525
"V1321_1","UDAIPUR","SARADA","KEVDA KHURD",23.3452606876079,14.7964942234072,39.8575040455527
"V1322_1","UDAIPUR","SARADA","KEVDA KALA",20.281245843714,17.1955490333447,30.4370643444305
"V1323_1","UDAIPUR","SARADA","NAKOLI",14.3551000300353,0.492305477876351,19.9247784534277
"V1324_1","UDAIPUR","SARADA","BABARMAL",25.8180472170583,12.5730881796562,29.9049860745986
"V1325_1","UDAIPUR","SARADA","ADWAS",19.9982171836683,-9.96229139797975,23.1731613043998
"V1326_1","UDAIPUR","SARADA","AJBARA",11.0643717308908,2.45780470814092,16.4058706136877
"V1327_1","UDAIPUR","SARADA","JAVAD",12.2255874719153,6.27129343659151,20.1373667040336
"V1328_1","UDAIPUR","SARADA","BHARIYA",10.6807229872316,3.30484289979824,15.9947041140715
"V1329_1","UDAIPUR","SARADA","DABANA",23.7982361752264,14.3579887567495,31.9094920031986
"V1330_1","UDAIPUR","SARADA","SEMAL",15.109230510064,4.57781319765442,24.8852436821202
"V1331_1","UDAIPUR","SARADA","CHAPARTHORI",8.19748201543388,1.82042171475476,14.8149761266326
"V1332_1","UDAIPUR","SARADA","JUNAKUAN",15.660253769802,8.16081482848973,21.019508698853
"V1333_1","UDAIPUR","SARADA","NAYA KUA",5.36945787089809,1.54202183540521,12.4512844354893
"V1334_1","UDAIPUR","SARADA","NAIJAR",19.2728985086047,8.95975277919887,29.0464048851847
"V1335_1","UDAIPUR","SARADA","JUNIJAR",10.9192398625959,1.98295769769219,13.4879936657429
"V1336_1","UDAIPUR","SARADA","PYAVADI",12.7750531469854,1.34461316933893,23.3958278331782
"V1337_1","UDAIPUR","SARADA","MINDUDA",5.45845455154021,-1.43614178799818,8.07502010043804
"V1338_1","UDAIPUR","SARADA","PADALA",18.499712521367,-0.550121714664579,27.7906380650964
"V1339_1","UDAIPUR","SARADA","KOTADIFALA",20.4314655666313,12.9571596135318,29.8562770278712
"V1340_1","UDAIPUR","SARADA","KHAKHADARA",19.9558971631469,17.1422893568444,27.0110784903827
